Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000163686,ABHD6,81,0.55825,40,-0.5578,63,0.18337,75,0.64773,46,-0.3277,17,-1.7862,36,-0.7509
ENSG00000163684,RPP14,7,-1.1598,3,-2.3708,22,0.66718,22,0.91037,7,-1.0643,0,-6.2185,16,0.08724
ENSG00000168297,PXK,295,3.21807,10,-2.5250,39,-0.5368,34,-0.8903,4,-3.6423,56,0.07364,31,-0.8797
ENSG00000168291,PDHB,59,-0.4801,53,-0.6197,54,-0.6521,134,1.32761,67,-0.2782,24,-1.7960,57,-0.5761
ENSG00000168301,KCTD6,22,-0.7580,52,0.55186,44,0.30540,47,0.55770,14,-1.3987,29,-0.3822,24,-0.6835
ENSG00000168309,FAM107A,1431,0.81960,1071,0.34383,466,-1.0143,479,-1.1357,1626,1.03567,1103,0.39131,1134,0.48932
ENSG00000189283,FHIT,27,1.04852,21,0.62282,9,-0.6410,10,-0.6306,4,-1.7878,29,1.19024,14,-0.0312
ENSG00000144724,PTPRG,15,-1.4855,9,-2.1947,45,0.20420,35,-0.2406,94,1.41578,31,-0.3640,49,0.35151
ENSG00000114405,C3orf14,34,-1.4219,157,0.93914,130,0.71182,70,-0.4726,39,-1.2490,171,1.09013,57,-0.7222
ENSG00000153266,FEZF2,0,-8.1248,75,0.78278,111,1.74839,12,-2.3469,35,-0.4168,80,0.88736,46,-0.0139
ENSG00000163618,CADPS,17,-2.9990,134,0.07702,183,0.64557,177,0.78126,48,-1.4748,85,-0.6272,87,-0.6432
ENSG00000163630,SYNPR,23,-3.0450,132,-0.4998,385,1.43368,233,0.56361,86,-1.1579,126,-0.5740,61,-1.7455
ENSG00000163634,THOC7,56,-0.9589,114,0.12534,101,-0.0657,139,0.66342,75,-0.5141,136,0.40719,60,-0.9248
ENSG00000163636,PSMD6,41,-0.6345,47,-0.3964,40,-0.6940,98,1.19481,44,-0.5113,42,-0.5741,44,-0.5683
ENSG00000163637,PRICKLE2,6,-3.7399,117,0.66539,172,1.56658,60,-0.4895,51,-0.6300,68,-0.1981,48,-0.7897
ENSG00000151276,MAGI1,26,-0.9518,52,0.09082,44,-0.1872,55,0.25332,44,-0.1625,60,0.32444,49,0.00020
ENSG00000144741,SLC25A26,11,-1.2218,32,0.39522,25,0.00313,35,0.74601,17,-0.5780,18,-0.5051,17,-0.6216
ENSG00000144749,LRIG1,184,0.84514,35,-1.7340,39,-1.6397,37,-1.9704,482,2.66984,25,-2.2248,180,0.91601
ENSG00000172340,SUCLG2,71,2.09893,11,-0.9138,7,-1.7635,4,-2.5775,37,0.93037,13,-0.7516,43,1.37698
ENSG00000183662,TAFA1,2,-2.8167,6,-1.2735,6,-1.4061,38,3.05065,0,-6.8833,0,-4.7682,6,-1.3834
ENSG00000144747,TMF1,34,0.30035,16,-0.8372,36,0.43624,37,0.60725,20,-0.5264,4,-2.8319,22,-0.3753
ENSG00000144744,UBA3,82,0.97663,20,-1.2354,37,-0.3118,61,0.72889,32,-0.5436,8,-2.5044,39,-0.2416
ENSG00000144746,ARL6IP5,276,0.70220,109,-0.7542,155,-0.2401,216,0.42973,155,-0.2211,140,-0.3752,144,-0.3589
ENSG00000114861,FOXP1,29,-0.8567,97,1.02716,84,0.89637,22,-1.5353,102,1.10333,67,0.42053,32,-0.7603
ENSG00000163412,EIF4E3,43,-0.7132,76,0.16408,93,0.56256,61,-0.2184,29,-1.2699,144,1.22486,47,-0.6244
ENSG00000170837,GPR27,40,-0.4976,46,-0.2874,73,0.48818,54,-0.0602,26,-1.1410,86,0.69646,53,-0.0812
ENSG00000163602,RYBP,81,1.08950,26,-0.6827,66,0.84892,33,-0.4544,12,-1.8845,44,0.11427,34,-0.3148
ENSG00000163605,PPP4R2,68,0.80076,20,-1.0895,56,0.53510,41,-0.0401,65,0.73303,17,-1.2896,25,-0.7955
ENSG00000121440,PDZRN3,13,-0.9896,44,0.88454,12,-1.1670,24,-0.0657,40,0.73352,8,-1.6327,38,0.71891
ENSG00000113805,CNTN3,8,-0.9629,8,-1.0959,15,-0.1239,17,0.16079,11,-0.5768,15,-0.0618,26,0.83878
ENSG00000185008,ROBO2,2,-4.8555,40,-0.6383,107,1.06264,86,0.83682,47,-0.3961,36,-0.7978,22,-1.6231
ENSG00000169855,ROBO1,32,-0.0187,42,0.39835,49,0.74455,26,-0.4175,5,-2.8112,15,-1.1621,46,0.62286
ENSG00000175161,CADM2,176,0.04463,103,-0.7895,176,0.04512,215,0.52649,111,-0.6768,149,-0.2241,153,-0.1969
ENSG00000083937,CHMP2B,84,0.58532,59,0.01719,58,-0.0086,57,-0.0538,52,-0.1878,60,0.03613,51,-0.2306
ENSG00000163320,CGGBP1,63,-0.3261,67,-0.2284,111,0.63577,77,-0.0235,57,-0.4740,59,-0.4341,79,0.02525
ENSG00000179021,C3orf38,15,0.24623,8,-0.6970,12,-0.1421,13,0.03062,12,-0.1318,20,0.75026,11,-0.1939
ENSG00000184500,PROS1,6,-1.4818,6,-1.5200,20,0.22513,7,-1.5815,83,2.74848,28,0.70822,10,-0.9038
ENSG00000269028,MTRNR2L12,3625,0.54821,2288,-0.1841,918,-1.6621,1200,-1.4418,1208,-1.1593,4723,0.98943,6205,1.74714
ENSG00000261292,AC110491.1,0,-8.2142,7,-1.7594,9,-1.5231,62,3.19379,4,-2.5259,0,-6.8906,10,-1.3758
ENSG00000113966,ARL6,3,-3.1530,55,0.93997,34,0.15091,42,0.70606,16,-0.9519,22,-0.5089,19,-0.7619
ENSG00000170854,RIOX2,26,0.58514,6,-1.5439,16,-0.1533,21,0.38422,28,0.70255,8,-1.2010,14,-0.3512
ENSG00000080822,CLDND1,1835,3.96094,85,-1.7027,115,-1.3282,114,-1.5528,52,-2.4171,134,-1.0231,168,-0.7262
ENSG00000080819,CPOX,109,2.34748,19,-0.5950,21,-0.4742,21,-0.6201,2,-3.4427,53,0.99787,16,-0.9525
ENSG00000064225,ST3GAL6,22,0.22261,8,-1.3763,26,0.56083,23,0.36283,3,-2.4940,26,0.47024,14,-0.5070
ENSG00000184220,CMSS1,22,-1.5472,85,0.47216,62,-0.0225,78,0.49806,28,-1.2133,98,0.71563,42,-0.6676
ENSG00000036054,TBC1D23,37,0.54431,16,-0.7458,29,0.16795,37,0.80246,9,-1.6236,9,-1.5486,19,-0.5061
ENSG00000114021,NIT2,17,-1.6041,62,0.36382,41,-0.3215,74,0.99927,48,-0.0467,39,-0.3379,23,-1.1936
ENSG00000154174,TOMM70,43,-1.2417,151,0.71237,121,0.39693,125,0.60050,50,-1.0057,92,-0.0690,41,-1.3962
ENSG00000206535,LNP1,8,-1.8006,23,-0.1667,13,-1.1012,51,1.91496,24,-0.1015,14,-0.9292,5,-2.3696
ENSG00000114354,TFG,82,0.13946,36,-1.1318,89,0.30231,90,0.39605,97,0.39564,44,-0.8205,53,-0.5704
ENSG00000138468,SENP7,12,-0.4274,7,-1.3170,18,0.11544,15,-0.1466,35,1.18767,18,0.15230,15,-0.1926
ENSG00000174173,TRMT10C,6,-2.2042,14,-1.0463,29,0.02923,36,0.57807,34,0.29169,42,0.62172,20,-0.5698
ENSG00000081154,PCNP,144,-0.1695,189,0.26099,180,0.20945,150,-0.1380,123,-0.4089,235,0.61365,135,-0.2905
ENSG00000066422,ZBTB11,35,-0.0881,33,-0.1820,52,0.58676,34,-0.1640,10,-1.9129,49,0.44067,39,0.07555
ENSG00000114391,RPL24,931,0.17309,805,-0.0560,458,-0.9913,671,-0.4504,1157,0.52157,1658,1.12456,934,0.19667
ENSG00000182504,CEP97,60,1.82653,15,-0.4184,24,0.27085,16,-0.5206,22,0.13218,0,-4.8170,18,-0.2284
ENSG00000144815,NXPE3,111,1.70238,35,-0.2004,50,0.39024,38,-0.0976,22,-0.8986,8,-2.4247,26,-0.7080
ENSG00000170017,ALCAM,196,0.90309,51,-1.2011,54,-1.1782,174,1.10222,83,-0.4697,94,-0.2786,58,-1.0799
ENSG00000242759,LINC00882,24,1.02396,4,-1.7441,9,-0.5273,10,-0.4907,14,0.11116,26,1.11462,14,0.12822
ENSG00000114439,BBX,107,1.73815,10,-1.9649,21,-0.9842,25,-0.8154,92,1.45894,27,-0.5242,39,0.05538
ENSG00000196776,CD47,224,0.83648,106,-0.3543,194,0.67576,141,0.12023,72,-0.9430,51,-1.4695,98,-0.5149
ENSG00000114446,IFT57,22,-0.8296,42,0.16832,46,0.35031,44,0.38410,28,-0.4600,39,0.05727,25,-0.6621
ENSG00000198919,DZIP3,30,-1.1555,26,-1.3573,92,0.66973,78,0.45839,50,-0.3769,53,-0.2717,54,-0.2675
ENSG00000138472,GUCA1C,2,-2.4739,0,-6.5865,33,2.12406,0,-5.9362,0,-6.4656,69,3.36768,1,-3.0266
ENSG00000177707,NECTIN3,20,0.74012,2,-2.5873,18,0.59724,10,-0.5000,20,0.77527,15,0.29496,9,-0.4879
ENSG00000240891,PLCXD2,3,-2.9008,27,0.30195,92,3.37175,3,-3.3977,0,-7.3891,26,0.21944,9,-1.3802
ENSG00000144827,ABHD10,42,-0.5866,59,-0.0791,106,0.99143,67,0.17052,10,-2.6948,36,-0.8148,58,-0.1126
ENSG00000144834,TAGLN3,36,-3.7257,671,0.63942,758,0.96106,441,-0.0473,251,-0.8996,549,0.31309,310,-0.6239
ENSG00000091972,CD200,33,-2.0109,72,-0.8442,175,0.60104,168,0.68897,122,-0.0404,99,-0.3712,78,-0.7881
ENSG00000144848,ATG3,126,0.98851,59,-0.2298,40,-0.8836,67,-0.0284,93,0.49240,94,0.50117,49,-0.5377
ENSG00000138459,SLC35A5,74,1.20915,20,-0.8914,42,0.30203,32,-0.2154,21,-0.7822,37,0.07441,30,-0.2587
ENSG00000163608,NEPRO,27,-0.0421,53,1.03202,32,0.25755,22,-0.4667,44,0.72112,14,-1.0467,22,-0.4078
ENSG00000072858,SIDT1,5,-2.4194,29,0.04658,50,1.06506,32,0.29905,17,-0.7929,15,-0.9755,21,-0.4522
ENSG00000176542,USF3,13,-0.5813,13,-0.4971,37,1.27555,9,-1.3498,25,0.45232,20,0.14602,21,0.22965
ENSG00000121579,NAA50,33,-0.5701,53,0.18213,44,-0.1388,57,0.40772,59,0.34992,29,-0.7373,40,-0.2880
ENSG00000114573,ATP6V1A,39,-3.0584,360,0.26490,468,0.78076,393,0.59288,215,-0.5398,195,-0.6887,169,-0.9666
ENSG00000178075,GRAMD1C,16,-0.4031,6,-1.7102,30,0.64450,10,-1.4046,23,0.13839,74,2.17431,16,-0.4243
ENSG00000184307,ZDHHC23,6,-2.0883,21,-0.2350,46,1.19712,31,0.57810,12,-1.0632,10,-1.3261,13,-1.0357
ENSG00000172020,GAP43,37,-4.1609,1297,1.20109,673,0.12829,736,0.37082,264,-1.3128,993,0.74676,308,-1.1561
ENSG00000185565,LSAMP,126,0.00467,104,-0.2889,130,0.05423,102,-0.4310,103,-0.3044,55,-1.2436,226,1.09361
ENSG00000144847,IGSF11,49,1.83676,4,-2.0148,3,-2.3424,15,-0.1829,26,0.74195,0,-4.5965,25,0.76327
ENSG00000031081,ARHGAP31,25,0.92079,10,-0.5026,6,-1.2765,5,-1.8750,39,1.68335,18,0.32587,23,0.87502
ENSG00000113845,TIMMDC1,77,0.47286,40,-0.5407,48,-0.3124,65,0.26670,61,0.08166,56,-0.0264,50,-0.2363
ENSG00000138495,COX17,123,0.04547,154,0.40432,88,-0.5073,120,0.01609,123,0.05237,236,1.11366,69,-0.8945
ENSG00000082701,GSK3B,21,-2.1063,73,-0.2538,112,0.46219,104,0.42058,89,0.03972,85,-0.0275,64,-0.4959
ENSG00000163428,LRRC58,70,1.66194,22,-0.2600,23,-0.2268,14,-1.1062,35,0.48788,10,-1.4213,35,0.54347
ENSG00000163430,FSTL1,52,1.02805,8,-1.8491,11,-1.4466,7,-2.3951,160,3.33667,11,-1.3651,25,-0.1692
ENSG00000065518,NDUFB4,268,-0.3435,368,0.15169,239,-0.5623,366,0.20335,490,0.61405,371,0.16528,285,-0.2717
ENSG00000144840,RABL3,38,0.72114,18,-0.4682,29,0.31033,17,-0.6609,31,0.39929,27,0.16471,25,0.02922
ENSG00000145087,STXBP5L,6,-3.0162,63,0.47645,95,1.34592,42,-0.2028,19,-1.3694,57,0.31616,28,-0.8311
ENSG00000173230,GOLGB1,44,-0.4897,67,0.15981,101,0.93823,37,-0.9829,37,-0.7516,115,1.04029,58,-0.0778
ENSG00000173226,IQCB1,10,-0.9677,20,0.06449,19,-0.0260,24,0.44687,11,-0.7709,29,0.62332,14,-0.4739
ENSG00000163406,SLC15A2,6,-1.8801,9,-1.3824,23,-0.0125,10,-1.5433,57,1.44487,1,-3.8742,61,1.89035
ENSG00000114023,FAM162A,80,-0.9460,146,-0.0205,141,-0.0806,190,0.58248,115,-0.3866,160,0.12806,115,-0.4192
ENSG00000114030,KPNA1,65,0.34102,50,-0.0469,76,0.67886,60,0.32345,21,-1.3725,20,-1.4194,38,-0.5297
ENSG00000138463,SLC49A4,23,0.34066,3,-2.6381,7,-1.4971,16,-0.3305,64,2.13970,2,-2.7754,26,0.59961
ENSG00000121542,SEC22A,9,-0.3718,14,0.30975,11,-0.1298,19,1.11243,4,-1.5486,0,-4.4897,9,-0.4867
ENSG00000173175,ADCY5,47,-0.6332,91,0.37702,73,0.02940,79,0.21157,60,-0.2792,76,0.08693,62,-0.2367
ENSG00000206527,HACD2,78,0.38651,41,-0.6195,95,0.80695,62,0.05839,20,-1.6757,47,-0.3923,52,-0.2510
ENSG00000065534,MYLK,123,2.54820,0,-5.3057,7,-2.1637,2,-3.9992,85,1.78988,10,-1.5486,54,1.15547
ENSG00000175455,CCDC14,21,0.57258,11,-0.3680,22,0.78365,15,0.04527,20,0.51712,2,-2.4643,7,-1.0639
ENSG00000160145,KALRN,20,-2.3544,128,0.44275,161,0.94267,111,0.30165,62,-0.6767,111,0.21553,37,-1.5411
ENSG00000082781,ITGB5,30,0.14693,8,-1.7876,12,-1.3165,14,-1.2468,95,2.13574,22,-0.3001,46,0.96162
ENSG00000173706,HEG1,26,0.47885,1,-3.6005,4,-2.4285,7,-1.8973,141,3.99552,10,-1.0175,10,-0.9959
ENSG00000221955,SLC12A8,6,-0.9168,2,-2.3381,16,0.69915,16,1.06944,0,-6.3363,0,-5.7945,11,0.09973
ENSG00000163848,ZNF148,35,0.01657,23,-0.6460,49,0.64022,35,0.02215,21,-0.7254,18,-0.9904,39,0.23578
ENSG00000114520,SNX4,51,0.54464,23,-0.7041,39,0.09750,30,-0.3843,67,0.97395,42,0.21742,28,-0.4239
ENSG00000144909,OSBPL11,41,1.43430,14,-0.3413,16,-0.1447,13,-0.5002,7,-1.2109,20,0.21887,19,0.21105
ENSG00000114544,SLC41A3,27,-2.0851,52,-1.0928,111,0.05884,171,1.17614,83,-0.4052,58,-0.9542,81,-0.4696
ENSG00000144908,ALDH1L1,53,0.57161,6,-2.5435,18,-1.1746,19,-1.2548,60,0.76441,23,-0.7521,96,1.89190
ENSG00000163884,KLF15,39,1.50214,10,-0.6146,3,-2.4712,10,-0.7933,13,-0.2264,1,-3.2586,38,1.73065
ENSG00000159685,CHCHD6,20,-1.9345,93,0.37778,73,-0.0130,104,0.83038,49,-0.6287,82,0.16841,38,-1.0724
ENSG00000114554,PLXNA1,12,-1.8735,41,-0.0519,80,1.20193,37,-0.2751,24,-0.8603,43,0.02844,39,-0.1232
ENSG00000163870,TPRA1,25,-0.1497,30,0.07950,28,-0.0183,28,-0.0100,26,-0.1353,32,0.21913,28,0.01170
ENSG00000114631,PODXL2,67,-1.8353,206,-0.1365,330,0.69506,256,0.28978,223,-0.0150,222,-0.0172,148,-0.6963
ENSG00000114626,ABTB1,12,-1.6923,53,0.50933,43,0.20767,51,0.66105,12,-1.6958,34,-0.1779,29,-0.4562
ENSG00000074416,MGLL,78,-0.4080,93,-0.1440,82,-0.3684,100,-0.0454,139,0.48761,158,0.70113,96,-0.0969
ENSG00000058262,SEC61A1,81,0.29964,38,-0.8616,68,0.03526,78,0.35244,78,0.24447,43,-0.6933,57,-0.2785
ENSG00000175792,RUVBL1,15,-0.5127,16,-0.4029,17,-0.4248,27,0.53069,27,0.37681,16,-0.4298,20,-0.0928
ENSG00000132394,EEFSEC,11,-0.6103,24,0.57018,18,0.06077,17,-0.0114,9,-1.0019,35,1.17211,11,-0.7353
ENSG00000163902,RPN1,74,-0.1342,60,-0.4753,70,-0.2561,93,0.29510,167,1.18227,55,-0.6093,54,-0.6768
ENSG00000075785,RAB7A,210,0.07572,129,-0.6789,235,0.28261,193,-0.0757,272,0.48807,194,-0.0487,177,-0.2088
ENSG00000177646,ACAD9,28,-0.0481,22,-0.3856,47,0.92411,30,0.08911,25,-0.2206,10,-1.5011,22,-0.4418
ENSG00000240682,ISY1,20,-0.0390,42,1.19095,31,0.73662,16,-0.4960,8,-1.4208,12,-0.8323,19,-0.1387
ENSG00000273437,AC108673.3,7,-1.0363,18,0.39650,9,-0.6953,19,0.72225,8,-0.7604,20,0.56612,10,-0.5639
ENSG00000169714,CNBP,241,0.28962,311,0.70879,158,-0.4005,175,-0.2817,254,0.37830,199,-0.0120,191,-0.0785
ENSG00000181789,COPG1,49,-0.6239,66,-0.1637,77,0.07956,109,0.96929,71,-0.0497,30,-1.3717,37,-1.0987
ENSG00000183624,HMCES,25,-0.7257,25,-0.7192,32,-0.3866,57,0.87061,54,0.47174,29,-0.4826,27,-0.6615
ENSG00000184897,H1FX,103,-1.1340,284,0.43550,200,-0.1327,243,0.26471,187,-0.2214,297,0.50939,174,-0.3666
ENSG00000129071,MBD4,21,-0.8079,26,-0.4705,43,0.33825,38,0.13271,58,0.79067,36,0.02885,24,-0.6592
ENSG00000163913,IFT122,16,-0.9369,31,0.12436,35,0.32148,35,0.39219,22,-0.4497,25,-0.2430,23,-0.3626
ENSG00000004399,PLXND1,38,0.09811,34,-0.0895,21,-0.9048,35,-0.0416,77,1.24465,25,-0.5383,38,0.06493
ENSG00000172765,TMCC1,37,0.01695,33,-0.1391,35,-0.0401,50,0.75735,38,0.05891,16,-1.2455,20,-0.9268
ENSG00000170893,TRH,1,-2.3427,2,-1.8916,33,3.56021,3,-1.7845,0,-5.8697,0,-5.3804,5,-0.4762
ENSG00000196455,PIK3R4,21,-0.1568,12,-0.9756,24,0.09281,33,0.85686,23,0.00155,9,-1.4088,15,-0.6522
ENSG00000017260,ATP2C1,108,-0.2782,67,-1.0052,220,0.97769,123,-0.1169,104,-0.3456,125,-0.0561,110,-0.2776
ENSG00000198585,NUDT16,49,-0.1556,106,1.08810,49,-0.1582,51,-0.1216,59,0.14212,52,-0.0635,40,-0.4917
ENSG00000114686,MRPL3,39,-0.4989,51,-0.0942,71,0.48885,63,0.33333,47,-0.2356,45,-0.2824,37,-0.6332
ENSG00000196353,CPNE4,2,-3.3762,42,1.04535,62,2.14813,16,-0.6246,11,-0.9768,15,-0.5237,1,-3.7241
ENSG00000138246,DNAJC13,6,-2.0140,13,-0.9776,42,0.87247,24,-0.2011,30,0.20885,38,0.61036,23,-0.2287
ENSG00000240303,ACAD11,19,0.67230,19,0.67034,16,0.48778,5,-1.6153,38,1.86255,2,-2.2611,9,-0.5433
ENSG00000081307,UBA5,37,0.15462,45,0.46681,33,-0.0052,33,-0.0323,24,-0.5097,45,0.46513,26,-0.4148
ENSG00000144868,TMEM108,19,-0.8346,12,-1.4701,33,0.03571,52,1.16620,33,0.00693,8,-2.0671,23,-0.6095
ENSG00000091527,CDV3,80,0.70937,85,0.80937,56,0.17112,46,-0.2202,29,-0.8537,23,-1.1973,50,-0.0380
ENSG00000163781,TOPBP1,18,-0.2585,22,0.06940,27,0.41218,30,0.77373,0,-5.1923,13,-0.7577,15,-0.5840
ENSG00000091513,TF,1951,6.49815,22,-3.1018,20,-3.3815,11,-4.4917,3,-5.9621,20,-3.2912,51,-2.0268
ENSG00000144867,SRPRB,41,-0.2557,64,0.43415,60,0.36275,58,0.38382,38,-0.3654,23,-1.1220,33,-0.6297
ENSG00000154917,RAB6B,62,-2.9832,531,0.22674,662,0.65824,619,0.70130,289,-0.7172,272,-0.8108,283,-0.8086
ENSG00000163785,RYK,14,0.00173,5,-1.5875,15,0.17303,15,0.17940,17,0.32164,8,-0.8577,16,0.24785
ENSG00000114019,AMOTL2,110,2.22034,15,-1.0832,17,-0.9674,31,0.02305,41,0.44685,7,-2.0909,18,-0.8407
ENSG00000129055,ANAPC13,61,-0.3156,90,0.27958,81,0.12222,81,0.17003,38,-1.0301,77,0.03979,75,-0.0103
ENSG00000182923,CEP63,41,1.43099,29,0.85682,16,-0.1173,13,-0.4832,0,-4.3770,15,-0.2039,17,-0.0158
ENSG00000154928,EPHB1,9,-0.1228,26,1.50338,5,-1.2145,7,-0.7711,6,-0.7489,0,-4.4980,22,1.47154
ENSG00000174579,MSL2,27,0.60345,11,-0.7542,21,0.15958,17,-0.1693,30,0.76423,8,-1.2280,19,-0.0068
ENSG00000114054,PCCB,47,0.72679,33,0.15421,23,-0.4057,36,0.41615,13,-1.2048,31,0.08123,21,-0.5480
ENSG00000118007,STAG1,6,-1.4540,16,0.05116,7,-1.3710,16,0.05449,47,1.82307,8,-0.9930,17,0.14591
ENSG00000168917,SLC35G2,14,-0.9061,10,-1.4833,13,-1.0837,43,1.20461,55,1.18742,6,-2.0879,17,-0.7216
ENSG00000158092,NCK1,22,-0.0071,12,-0.9674,13,-0.8318,21,-0.1175,28,0.36513,54,1.48707,20,-0.2006
ENSG00000114098,ARMC8,37,-0.2909,26,-0.8201,56,0.42867,53,0.43097,42,-0.0941,26,-0.8237,37,-0.2996
ENSG00000158186,MRAS,62,-0.8616,99,-0.1579,143,0.47454,111,0.04571,145,0.45332,76,-0.5617,98,-0.1757
ENSG00000114107,CEP70,16,-0.1222,16,-0.1334,16,-0.0881,13,-0.5933,16,-0.0999,28,0.74776,24,0.56635
ENSG00000158234,FAIM,15,-0.1238,7,-1.1609,10,-0.7796,12,-0.5491,58,2.21896,11,-0.5103,16,0.00894
ENSG00000051382,PIK3CB,38,-0.6801,72,0.33199,101,1.00936,49,-0.3702,41,-0.5572,73,0.33626,41,-0.6007
ENSG00000175110,MRPS22,23,-0.6558,17,-1.1171,35,0.02451,46,0.66426,22,-0.7122,60,0.88127,20,-0.8788
ENSG00000184432,COPB2,52,0.20556,28,-0.7539,29,-0.7375,59,0.58224,67,0.60191,34,-0.4496,37,-0.3566
ENSG00000114115,RBP1,98,1.50728,11,-1.8579,26,-0.6943,19,-1.3755,39,-0.0277,38,-0.0741,81,1.34720
ENSG00000158258,CLSTN2,16,-3.1930,157,0.19536,466,2.66941,76,-1.1441,74,-0.9600,96,-0.5661,40,-1.9575
ENSG00000114120,SLC25A36,69,-0.0647,89,0.34986,82,0.23571,83,0.32651,43,-0.7807,53,-0.4570,55,-0.4480
ENSG00000155893,PXYLP1,33,1.19253,7,-1.1911,15,-0.1467,13,-0.4084,23,0.55705,6,-1.3839,20,0.42253
ENSG00000177311,ZBTB38,46,-0.3759,63,0.10555,76,0.45644,64,0.18396,70,0.26246,58,-0.0340,31,-1.0518
ENSG00000155903,RASA2,8,-1.2062,23,0.32555,20,0.18970,16,-0.2969,9,-1.0741,40,1.27695,18,-0.0393
ENSG00000114125,RNF7,73,-0.7172,134,0.23579,92,-0.3796,134,0.33308,122,0.07930,155,0.46873,91,-0.3973
ENSG00000069849,ATP1B3,68,-0.7636,109,-0.0269,129,0.26035,141,0.55794,146,0.43064,82,-0.4622,52,-1.2223
ENSG00000114126,TFDP2,14,-0.7137,15,-0.5929,29,0.41074,22,-0.0427,29,0.39546,12,-0.9141,27,0.33092
ENSG00000175066,GK5,25,0.62782,12,-0.5857,16,-0.0520,19,0.24379,8,-1.0678,22,0.37522,14,-0.3080
ENSG00000114127,XRN1,8,-1.0185,17,0.04156,16,-0.0558,10,-0.8892,26,0.77772,52,1.98427,9,-0.8771
ENSG00000175054,ATR,13,-0.7767,8,-1.3862,26,0.31839,36,1.30928,6,-1.8216,6,-1.9307,15,-0.6271
ENSG00000144935,TRPC1,34,-0.3297,22,-0.9576,59,0.63475,54,0.60792,36,-0.2292,31,-0.4659,21,-1.1122
ENSG00000163710,PCOLCE2,3,-2.3219,28,0.96812,47,2.39499,8,-1.1083,0,-5.4176,23,0.66267,0,-6.4344
ENSG00000163714,U2SURP,58,0.14742,32,-0.7629,60,0.22360,48,-0.2133,72,0.48834,47,-0.1815,57,0.13157
ENSG00000175040,CHST2,29,-0.9292,25,-1.1254,33,-0.7902,109,2.06482,27,-1.0455,13,-2.0895,23,-1.3856
ENSG00000114698,PLSCR4,55,0.98850,8,-1.8820,37,0.35903,10,-1.8751,50,0.82696,11,-1.5068,60,1.29470
ENSG00000163754,GYG1,32,-0.8726,37,-0.6652,54,-0.0984,68,0.40652,110,1.06767,43,-0.4247,40,-0.5660
ENSG00000071794,HLTF,44,0.48591,33,0.01413,49,0.74897,28,-0.3179,34,0.09669,19,-0.8286,25,-0.4483
ENSG00000163755,HPS3,21,0.00671,18,-0.1873,14,-0.6105,22,0.16756,33,0.71120,17,-0.3216,21,0.02999
ENSG00000018408,WWTR1,27,0.34471,15,-0.5418,11,-1.0469,6,-2.1763,123,3.24925,24,0.15134,12,-0.9380
ENSG00000114744,COMMD2,32,0.23899,9,-1.5516,43,0.80786,19,-0.6909,48,0.90894,43,0.74388,16,-0.8594
ENSG00000082996,RNF13,283,2.33779,23,-1.7916,67,-0.1696,40,-1.1708,107,0.56923,67,-0.1577,59,-0.3869
ENSG00000070087,PFN2,255,-0.8486,594,0.46969,400,-0.1702,534,0.42805,461,0.06390,477,0.12038,293,-0.6894
ENSG00000196428,TSC22D2,24,-0.7402,39,0.00825,31,-0.3634,39,0.02889,63,0.77112,60,0.68247,30,-0.4124
ENSG00000120742,SERP1,128,0.18006,127,0.15833,80,-0.6041,82,-0.6691,195,0.85682,101,-0.1970,168,0.69176
ENSG00000144895,EIF2A,38,-0.2871,48,0.05068,28,-0.8266,58,0.51286,53,0.21112,70,0.65117,30,-0.7430
ENSG00000198843,SELENOT,186,0.25263,128,-0.3302,204,0.44435,183,0.32329,141,-0.1809,94,-0.8002,107,-0.6617
ENSG00000181788,SIAH2,15,-0.7797,19,-0.4329,30,0.27653,32,0.49940,36,0.55486,16,-0.6942,16,-0.7469
ENSG00000144893,MED12L,5,-1.4049,9,-0.6789,19,0.57328,22,1.15632,1,-3.7486,3,-2.2202,11,-0.4100
ENSG00000152601,MBNL1,57,-0.5354,87,0.11502,94,0.27431,94,0.33517,65,-0.3367,60,-0.4454,68,-0.2963
ENSG00000169860,P2RY1,23,0.53877,10,-0.7893,3,-2.4687,18,0.18217,41,1.49565,4,-2.0764,21,0.42254
ENSG00000181467,RAP2B,12,-2.1079,62,0.31722,76,0.70578,75,0.91649,23,-1.1938,19,-1.4945,23,-1.2690
ENSG00000243069,ARHGEF26-AS1,10,-0.3091,11,-0.1654,6,-1.1209,6,-1.3623,26,1.20275,13,0.06729,26,1.42642
ENSG00000114790,ARHGEF26,35,0.51010,7,-1.9226,12,-1.1906,10,-1.6965,98,2.37053,20,-0.3468,40,0.82229
ENSG00000174953,DHX36,41,-0.5658,38,-0.6790,87,0.70975,68,0.30909,51,-0.2119,39,-0.6235,46,-0.4088
ENSG00000174928,C3orf33,5,-1.9012,13,-0.6031,27,0.61099,19,-0.0087,24,0.39270,30,0.74995,13,-0.6282
