gene,locus,sample_1,sample_2,status,value_1,value_2,log2.fold_change.,test_stat,p_value,q_value
AQP7P1,chr9:67270214-67289492,E3,E4,OK,0.309185,0.460186,0.573749,1.43918,0.01615,0.0337763
AQP7P3,chr9:42844369-42893137,E3,E4,OK,8.25036,4.96922,-0.73144,-2.36848,1.00E-04,0.00032265
AQP8,chr16:25228284-25240253,E3,E4,NOTEST,0,0,0,0,1,1
AQP9,chr15:58430407-58478110,E3,E4,NOTEST,0,0,0,0,1,1
AQPEP,chr5:115298150-115363299,E3,E4,NOTEST,0.0695862,0.0413853,-0.749684,0,1,1
AQR,chr15:35148551-35261995,E3,E4,OK,10.9858,9.16725,-0.261081,-1.69337,0.00345,0.00845973
AR,chrX:66763873-66950461,E3,E4,OK,5.85572,3.10443,-0.91552,-5.69156,5.00E-05,0.000167183
ARAF,chrX:47420498-47479256,E3,E4,OK,52.3996,36.4781,-0.522526,-2.21502,1.00E-04,0.00032265
ARAP1,chr11:72396113-72463434,E3,E4,OK,7.66344,7.06415,-0.117476,-0.732755,0.19595,0.290767
ARAP2,chr4:36067619-36245979,E3,E4,OK,0.390033,3.65859,3.22962,13.9283,5.00E-05,0.000167183
ARAP3,chr5:141032967-141061800,E3,E4,OK,2.85401,2.23759,-0.351047,-1.8862,0.00085,0.00236111
ARC,chr8:143692404-143695833,E3,E4,OK,9.28462,31.0093,1.73979,11.0406,5.00E-05,0.000167183
ARCN1,chr11:118443101-118473747,E3,E4,OK,52.0631,56.9562,0.129591,0.888675,0.1216,0.195962
AREG,chr4:75480628-75490485,E3,E4,NOTEST,0,0,0,0,1,1
ARF1,chr1:228270360-228286913,E3,E4,OK,183.998,177.195,-0.0543566,-0.374813,0.5092,0.619674
ARF3,chr12:49329991-49351252,E3,E4,OK,58.4597,81.4003,0.477591,3.2804,5.00E-05,0.000167183
ARF4,chr3:57557089-57583215,E3,E4,OK,140.625,146.573,0.0597645,0.410301,0.4723,0.585913
ARF5,chr7:127228405-127231759,E3,E4,OK,118.054,117.949,-0.00128322,-0.00866879,0.98695,0.990674
ARF6,chr14:50359735-50363772,E3,E4,OK,21.6693,16.8064,-0.366642,-2.43595,5.00E-05,0.000167183
ARFGAP1,chr20:61904164-61921142,E3,E4,OK,17.545,19.2627,0.13475,0.881736,0.12545,0.20105
ARFGAP2,chr11:46958250-47198676,E3,E4,OK,27.6067,24.5068,-0.171832,-0.870769,0.129,0.205866
ARFGAP3,chr22:43192531-43253408,E3,E4,OK,33.6898,27.9044,-0.27182,-1.81757,0.001,0.00274895
ARFGEF1,chr8:68109883-68255912,E3,E4,OK,12.6409,10.6591,-0.246012,-1.64523,0.00375,0.00910516
ARFGEF2,chr20:47538274-47653230,E3,E4,OK,7.44548,5.947,-0.324201,-2.12983,0.00015,0.000473552
ARFIP1,chr4:153701111-153833063,E3,E4,OK,17.2553,15.4498,-0.159455,-1.02483,0.07225,0.125848
ARFIP2,chr11:6495912-6505911,E3,E4,OK,15.7021,16.8086,0.098243,0.48136,0.4005,0.514773
ARFRP1,chr20:62289162-62367494,E3,E4,OK,7.54443,8.84308,0.229138,0.784575,0.1671,0.2558
ARG1,chr6:131894343-131949379,E3,E4,NOTEST,0.0230252,0.0212694,-0.114436,0,1,1
ARG2,chr14:68086578-68141602,E3,E4,OK,5.58952,6.74271,0.270604,0.683091,0.23695,0.33956
ARGFX,chr3:121286777-121309469,E3,E4,OK,1.46464,1.54742,0.0793185,0.372774,0.51175,0.621926
ARGFXP2,chr17:30469472-30552746,E3,E4,OK,0.346198,0.452479,0.386252,0.186953,0.76565,0.836564
ARGLU1,chr13:107195661-107220514,E3,E4,OK,112.78,96.9675,-0.217941,-1.48834,0.0087,0.0194853
ARHGAP1,chr11:46698624-46722215,E3,E4,OK,16.7656,17.9373,0.0974592,0.638932,0.25625,0.360983
ARHGAP10,chr4:148653452-148993927,E3,E4,OK,9.65981,3.00933,-1.68255,-9.11455,5.00E-05,0.000167183
ARHGAP11A,chr15:32907690-32931868,E3,E4,OK,2.89156,2.60732,-0.149278,-0.821123,0.1506,0.234294
ARHGAP11B,chr15:30918878-30931013,E3,E4,NOTEST,0.209615,0.383939,0.873134,0,1,1
ARHGAP12,chr10:32094325-32217804,E3,E4,OK,21.5473,15.0326,-0.519415,-3.45855,5.00E-05,0.000167183
ARHGAP15,chr2:143886898-144525921,E3,E4,NOTEST,0,0.0646593,Inf,0,1,1
ARHGAP17,chr16:24930711-25026675,E3,E4,OK,14.2293,15.5301,0.126209,0.818286,0.1585,0.244719
ARHGAP18,chr6:129898239-130031370,E3,E4,OK,12.938,2.52232,-2.35879,-12.9192,5.00E-05,0.000167183
ARHGAP19,chr10:98757794-99052430,E3,E4,OK,4.54335,3.22938,-0.492499,-1.62031,0.00445,0.0106338
ARHGAP19-SLIT1,chr10:98757794-99052430,E3,E4,OK,0.450353,0.183662,-1.294,-0.490572,0.5189,0.628087
ARHGAP20,chr11:110447758-110583912,E3,E4,NOTEST,0.0021268,0.215585,6.66343,0,1,1
ARHGAP21,chr10:24872537-25012597,E3,E4,OK,21.9083,16.0873,-0.445551,-3.02519,5.00E-05,0.000167183
ARHGAP22,chr10:49654067-49864310,E3,E4,OK,0.0263243,1.6652,5.98316,2.39918,0.0633,0.112213
ARHGAP23,chr17:36584719-36668628,E3,E4,OK,3.46153,7.8152,1.17488,7.17969,5.00E-05,0.000167183
ARHGAP24,chr4:86396283-86923823,E3,E4,NOTEST,0.0189484,0.118052,2.63928,0,1,1
ARHGAP25,chr2:68961912-69053957,E3,E4,NOTEST,0.109819,0.150688,0.456439,0,1,1
ARHGAP26,chr5:142150291-142608572,E3,E4,OK,0.545564,1.95946,1.84463,8.58356,5.00E-05,0.000167183
ARHGAP26-AS1,chr5:142150291-142608572,E3,E4,NOTEST,0,0.0200773,Inf,0,1,1
ARHGAP27,chr17_ctg5_hap1:121842-125407,E3,E4,OK,1.77304,0.583548,-1.76945,-4.8554,5.00E-05,0.000167183
ARHGAP28,chr18:6834431-6915712,E3,E4,NOTEST,0.00227471,0.108552,5.57656,0,1,1
ARHGAP29,chr1:94634462-94703307,E3,E4,OK,8.66961,4.94138,-0.811053,-5.31148,5.00E-05,0.000167183
ARHGAP30,chr1:161016731-161039760,E3,E4,NOTEST,0.387154,0.295103,-0.391687,0,1,1
ARHGAP31,chr3:119013219-119138323,E3,E4,OK,20.2269,8.6243,-1.2298,-8.27323,5.00E-05,0.000167183
ARHGAP32,chr11:128834954-129062093,E3,E4,OK,7.42827,4.23692,-0.810011,-5.26261,5.00E-05,0.000167183
ARHGAP33,chr19:36266416-36279724,E3,E4,OK,5.14836,4.51054,-0.190812,-1.11336,0.0568,0.102239
ARHGAP35,chr19:47421932-47508333,E3,E4,OK,15.015,16.2451,0.113598,0.772438,0.173,0.263151
ARHGAP36,chrX:130192215-130223857,E3,E4,NOTEST,0.00420224,0.0322185,2.93866,0,1,1
ARHGAP39,chr8:145754562-145838888,E3,E4,OK,3.73131,3.62556,-0.0414802,-0.238318,0.67335,0.764077
ARHGAP4,chrX:153172829-153191714,E3,E4,OK,0.518522,0.409455,-0.340702,-0.934045,0.0911,0.153579
ARHGAP40,chr20:37230576-37279295,E3,E4,NOTEST,0,0.0043456,Inf,0,1,1
ARHGAP42,chr11:100558406-100861656,E3,E4,OK,7.39033,3.71849,-0.990921,-5.89909,5.00E-05,0.000167183
ARHGAP44,chr17:12692828-12921381,E3,E4,OK,10.1603,5.22958,-0.95817,-2.81526,5.00E-05,0.000167183
ARHGAP5,chr14:32546494-32628934,E3,E4,OK,17.6893,17.6818,-0.000613042,-0.0042021,0.99335,0.995129
ARHGAP5-AS1,chr14:32544624-32545905,E3,E4,OK,1.31073,4.07775,1.63741,5.37795,5.00E-05,0.000167183
ARHGAP6,chrX:11155662-11683821,E3,E4,OK,0.114639,0.492518,2.10308,3.67972,5.00E-05,0.000167183
ARHGAP8,chr22:45064426-45258664,E3,E4,NOTEST,0.130895,0.202602,0.630237,0,1,1
ARHGAP9,chr12:57853917-57873633,E3,E4,NOTEST,0.0322103,0.076277,1.24373,0,1,1
ARHGDIA,chr17:79825596-79829282,E3,E4,OK,128.282,168.452,0.393019,2.70227,5.00E-05,0.000167183
ARHGDIB,chr12:15094949-15114562,E3,E4,OK,0.156796,0.477133,1.6055,1.70247,0.0277,0.0544906
ARHGDIG,chr16:330605-333003,E3,E4,OK,2.53678,2.29904,-0.14197,-0.451218,0.43805,0.551995
ARHGEF1,chr19:42387266-42411604,E3,E4,OK,11.6754,10.4532,-0.159528,-1.00153,0.0817,0.139935
ARHGEF10,chr8:1772148-1906807,E3,E4,OK,14.514,10.5735,-0.456985,-3.02246,5.00E-05,0.000167183
ARHGEF10L,chr1:17866329-18024370,E3,E4,OK,6.59669,7.8504,0.251024,1.54657,0.00805,0.0181425
ARHGEF11,chr1:156904631-157015162,E3,E4,OK,8.10483,8.27131,0.029335,0.191284,0.7424,0.819282
ARHGEF12,chr11:120207617-120360645,E3,E4,OK,19.3515,18.5304,-0.0625496,-0.428753,0.4568,0.570386
ARHGEF15,chr17:8213555-8225834,E3,E4,NOTEST,0,0,0,0,1,1
ARHGEF16,chr1:3371146-3397677,E3,E4,NOTEST,0.139377,0.321551,1.20605,0,1,1
ARHGEF17,chr11:73019662-73080425,E3,E4,OK,16.0849,17.9498,0.158254,1.07526,0.0602,0.107551
ARHGEF18,chr19:7459998-7537371,E3,E4,OK,12.1045,10.3584,-0.224751,-1.47801,0.0096,0.0212676
ARHGEF19,chr1:16524598-16539104,E3,E4,OK,0.633232,0.80393,0.344335,1.13881,0.0519,0.0945002
ARHGEF2,chr1:155916629-155948336,E3,E4,OK,3.66963,7.54097,1.03912,6.01406,5.00E-05,0.000167183
ARHGEF25,chr12:58003962-58011028,E3,E4,OK,10.8727,9.31599,-0.222927,-1.31535,0.0226,0.0456718
ARHGEF26,chr3:153742189-153975616,E3,E4,OK,4.87028,6.35008,0.382769,2.00804,0.00045,0.00131916
ARHGEF26-AS1,chr3:153742189-153975616,E3,E4,OK,2.25034,2.64278,0.23191,0.477661,0.4086,0.523002
ARHGEF28,chr5:72921982-73237818,E3,E4,OK,1.35258,0.391839,-1.78738,-6.84645,5.00E-05,0.000167183
ARHGEF3,chr3:56761445-57113336,E3,E4,OK,3.38822,5.0429,0.573725,3.12492,5.00E-05,0.000167183
ARHGEF3-AS1,chr3:56761445-57113336,E3,E4,NOTEST,0,0,0,0,1,1
ARHGEF33,chr2:39146503-39202590,E3,E4,NOTEST,0.0939119,0.0895421,-0.0687429,0,1,1
ARHGEF35,chr7:143883175-143892791,E3,E4,NOTEST,0.0588516,0.0441544,-0.414523,0,1,1
ARHGEF37,chr5:148961134-149014527,E3,E4,OK,0.364479,2.01589,2.46751,9.18649,5.00E-05,0.000167183
ARHGEF38,chr4:106473776-106602070,E3,E4,NOTEST,0.0360352,0.0436333,0.276025,0,1,1
ARHGEF38-IT1,chr4:106473776-106602070,E3,E4,NOTEST,0,0,0,0,1,1
ARHGEF39,chr9:35658286-35665278,E3,E4,OK,3.61853,4.4853,0.3098,1.51504,0.0086,0.0192728
ARHGEF4,chr2:131674223-131804836,E3,E4,OK,10.5495,4.87276,-1.11436,-6.66468,5.00E-05,0.000167183
ARHGEF40,chr14:21538526-21558036,E3,E4,OK,17.372,21.1706,0.285296,1.92376,5.00E-04,0.00145584
ARHGEF5,chr7:144052488-144077725,E3,E4,NOTEST,0.230044,0.0795853,-1.53134,0,1,1
ARHGEF6,chrX:135747711-135863503,E3,E4,OK,15.308,13.3308,-0.199523,-1.32697,0.01975,0.0403825
ARHGEF7,chr13:111767623-111958081,E3,E4,OK,11.3902,10.0321,-0.183163,-1.19226,0.03895,0.0735825
ARHGEF9,chrX:62854847-63005426,E3,E4,OK,7.97709,11.9324,0.580948,3.74337,5.00E-05,0.000167183
ARID1A,chr1:27022521-27108601,E3,E4,OK,14.5668,14.6585,0.00905976,0.0616627,0.91615,0.942939
ARID1B,chr6:157099063-157531913,E3,E4,OK,9.79257,8.36301,-0.227666,-1.53085,0.00675,0.0154948
ARID2,chr12:46123619-46301819,E3,E4,OK,7.69249,6.34532,-0.277757,-1.8234,0.00105,0.00287802
ARID3A,chr19:926036-972803,E3,E4,OK,1.07919,1.25851,0.22176,0.800342,0.164,0.251871
ARID3B,chr15:74833547-74890472,E3,E4,OK,1.02996,1.83845,0.835903,3.59608,5.00E-05,0.000167183
ARID3C,chr9:34621454-34628011,E3,E4,NOTEST,0.0813034,0.0786264,-0.0483019,0,1,1
ARID4A,chr14:58765221-58840451,E3,E4,OK,9.36606,6.87505,-0.446072,-2.87011,5.00E-05,0.000167183
ARID4B,chr1:235330209-235491532,E3,E4,OK,11.2523,9.95714,-0.176415,-1.16369,0.04185,0.0784428
ARID5A,chr2:97202463-97218371,E3,E4,OK,13.8739,10.388,-0.41746,-2.50499,5.00E-05,0.000167183
ARID5B,chr10:63661012-63856707,E3,E4,OK,22.1294,28.0115,0.340056,2.31153,5.00E-05,0.000167183
ARIH1,chr15:72766666-72878896,E3,E4,OK,19.7033,18.4793,-0.092525,-0.623119,0.2727,0.379658
ARIH2,chr3:48955220-49022971,E3,E4,OK,20.7793,16.7907,-0.307485,-1.99915,0.00085,0.00236111
ARIH2OS,chr3:48955220-49022971,E3,E4,OK,2.54159,2.52104,-0.0117097,-0.0162035,0.977,0.984169
ARL1,chr12:101786902-101801572,E3,E4,OK,31.4676,30.9316,-0.0247894,-0.166792,0.76755,0.838028
ARL10,chr5:175792501-175800503,E3,E4,OK,6.10264,5.37011,-0.184481,-0.989129,0.0846,0.144134
ARL11,chr13:50202434-50208008,E3,E4,OK,0.694318,0.694767,0.00093282,0.0032301,0.97975,0.986332
ARL13A,chrX:100224696-100245820,E3,E4,NOTEST,0.0829981,0.0335279,-1.30772,0,1,1
ARL13B,chr3:93698982-93774522,E3,E4,OK,5.73383,5.04882,-0.183554,-1.06441,0.06375,0.112878
ARL14,chr3:160394947-160396235,E3,E4,NOTEST,0,0.0132159,Inf,0,1,1
ARL14EP,chr11:30344648-30359165,E3,E4,OK,15.1144,18.4445,0.287273,1.74564,0.00225,0.00578199
ARL14EPL,chr5:115387162-115394827,E3,E4,NOTEST,0,0,0,0,1,1
ARL15,chr5:53180613-53606403,E3,E4,OK,3.34854,10.1222,1.59592,8.39565,5.00E-05,0.000167183
ARL16,chr17:79648223-79650954,E3,E4,OK,22.9321,29.9323,0.384334,2.33663,5.00E-05,0.000167183
ARL17A,chr17_ctg5_hap1:1450905-1513884,E3,E4,NOTEST,1.0529,0.719657,0.338119,0,1,1
ARL17B,chr17_ctg5_hap1:195720-458604,E3,E4,OK,1.37086,1.29541,-0.0816735,-0.0787501,0.87315,0.913691
ARL2,chr11:64781584-64808044,E3,E4,OK,51.8081,75.4148,0.54167,2.92382,5.00E-05,0.000167183
ARL2-SNX15,chr11:64781584-64808044,E3,E4,NOTEST,6.66E-06,5.75E-09,-10.1767,0,1,1
ARL2BP,chr16:57279037-57287545,E3,E4,OK,46.4615,41.2726,-0.170853,-1.14389,0.0431,0.0805159
ARL3,chr10:104433483-104474190,E3,E4,OK,23.8998,25.9199,0.117058,0.786789,0.1658,0.254145
ARL4A,chr7:12726451-12730558,E3,E4,OK,52.84,16.921,-1.64281,-10.8891,5.00E-05,0.000167183
ARL4C,chr2:235401685-235405693,E3,E4,OK,70.7422,85.2574,0.269252,1.85414,0.00085,0.00236111
ARL4D,chr17:41476352-41478504,E3,E4,OK,1.53435,5.10722,1.73491,6.75274,5.00E-05,0.000167183
ARL5A,chr2:152657479-152685009,E3,E4,OK,18.6594,18.1086,-0.0432243,-0.283101,0.62185,0.719315
ARL5B,chr10:18948312-18966940,E3,E4,OK,14.2635,9.94821,-0.51982,-3.30916,5.00E-05,0.000167183
ARL5C,chr17:37313146-37322414,E3,E4,NOTEST,0,0.0210564,Inf,0,1,1
ARL6,chr3:97483594-97517373,E3,E4,OK,3.44792,3.00092,-0.200319,-0.74849,0.1838,0.276542
ARL6IP1,chr16:18802990-18812857,E3,E4,OK,190.492,118.834,-0.680785,-4.68803,5.00E-05,0.000167183
ARL6IP4,chr12:123464879-123467460,E3,E4,OK,90.1923,90.0969,-0.00152703,-0.010239,0.98675,0.990621
ARL6IP5,chr3:69134089-69155239,E3,E4,OK,66.6316,74.0377,0.152053,1.03456,0.06745,0.118623
ARL6IP6,chr2:153574406-153617767,E3,E4,OK,16.917,9.51973,-0.829479,-4.85976,5.00E-05,0.000167183
ARL8A,chr1:202102531-202113871,E3,E4,OK,65.2353,59.3801,-0.135674,-0.916221,0.11285,0.18418
ARL8B,chr3:5163929-5222601,E3,E4,OK,34.9379,35.08,0.00585375,0.0394276,0.94505,0.962386
ARL9,chr4:57371374-57390058,E3,E4,NOTEST,0.148253,0.175691,0.244983,0,1,1
ARMC1,chr8:66514690-66546452,E3,E4,OK,20.5811,20.1638,-0.0295526,-0.193944,0.72705,0.806113
ARMC10,chr7:102715327-102789569,E3,E4,OK,17.7659,20.39,0.198756,1.0281,0.07345,0.127688
ARMC12,chr6:35704858-35716685,E3,E4,OK,1.24618,0.865925,-0.525198,-1.24732,0.04035,0.0759896
ARMC2,chr6:109169618-109295352,E3,E4,OK,0.962119,1.67981,0.804015,3.16934,5.00E-05,0.000167183
ARMC3,chr10:23216953-23326514,E3,E4,OK,0.322443,1.24773,1.95219,5.11038,5.00E-05,0.000167183
ARMC4,chr10:28101096-28287977,E3,E4,OK,0.0295261,0.547548,4.21292,3.45518,0.00265,0.00667584
ARMC5,chr16:31470316-31478488,E3,E4,OK,3.76804,3.62428,-0.0561198,-0.30144,0.6012,0.701609
ARMC6,chr19:19144386-19168987,E3,E4,OK,13.7433,15.6418,0.18668,1.16202,0.04275,0.0799214
ARMC7,chr17:73106081-73127890,E3,E4,OK,2.37196,3.17814,0.422101,1.03942,0.0695,0.121774
ARMC8,chr3:137906114-138048728,E3,E4,OK,19.2723,14.7926,-0.381652,-2.42661,5.00E-05,0.000167183
ARMC9,chr2:232063293-232238606,E3,E4,OK,10.1934,9.20564,-0.147046,-0.756117,0.1917,0.28578
ARMCX1,chrX:100805513-100809675,E3,E4,OK,12.3437,13.6244,0.142416,0.860238,0.1298,0.206967
ARMCX2,chrX:100910267-100914863,E3,E4,OK,8.84536,22.3713,1.33865,8.36901,5.00E-05,0.000167183
ARMCX3,chrX:100878119-100882831,E3,E4,OK,32.73,41.1802,0.331337,2.22641,5.00E-05,0.000167183
ARMCX4,chrX:100673250-100790975,E3,E4,OK,8.49312,5.78771,-0.553302,-3.10218,5.00E-05,0.000167183
ARMCX5,chrX:101854095-101972661,E3,E4,OK,5.74576,5.89889,0.0379459,0.120496,0.83555,0.887882
"ARMCX5-GPRASP2,GPRASP2",chrX:101854095-101972661,E3,E4,OK,6.17113,5.22538,-0.239998,-0.538629,0.32605,0.438099
ARMCX6,chrX:100870107-100872991,E3,E4,OK,23.6115,32.8774,0.477609,2.63821,5.00E-05,0.000167183
ARMS2,chr10:124214178-124216868,E3,E4,NOTEST,0.192636,0.151556,-0.346027,0,1,1
ARNT,chr1:150782180-150849244,E3,E4,OK,9.37714,8.34416,-0.16838,-1.07634,0.06145,0.10946
ARNT2,chr15:80696691-80890277,E3,E4,OK,18.4289,13.8531,-0.411755,-2.77481,5.00E-05,0.000167183
ARNTL,chr11:13299324-13408812,E3,E4,OK,4.42604,6.63888,0.584923,3.19108,5.00E-05,0.000167183
ARNTL2,chr12:27485786-27578746,E3,E4,OK,2.40759,2.90478,0.270844,1.55768,0.00685,0.015691
ARPC1A,chr7:98923495-98963885,E3,E4,OK,92.8242,81.8026,-0.182354,-1.23808,0.03025,0.0589539
ARPC1B,chr7:98972297-99006305,E3,E4,OK,11.8146,16.1939,0.454879,1.09835,0.0579,0.103897
ARPC2,chr2:219081873-219119071,E3,E4,OK,181.251,215.33,0.248565,1.70448,0.00265,0.00667584
ARPC3,chr12:110872705-110888158,E3,E4,OK,263.226,226.192,-0.218756,-1.49523,0.0083,0.018667
ARPC4,chr3:9821653-9878040,E3,E4,OK,83.5924,97.6955,0.22492,1.05507,0.0662,0.116792
ARPC4-TTLL3,chr3:9821653-9878040,E3,E4,OK,2.8646,2.26856,-0.336554,-0.404132,0.4856,0.597747
ARPC5,chr1:183595327-183605076,E3,E4,OK,68.6325,82.6837,0.268713,1.83218,0.0014,0.00375755
ARPC5L,chr9:127631483-127639696,E3,E4,OK,32.651,43.2022,0.403976,2.50519,5.00E-05,0.000167183
ARPP19,chr15:52839431-52861213,E3,E4,OK,72.187,58.4893,-0.303566,-2.09127,3.00E-04,0.00090347
ARPP21,chr3:35680665-35835988,E3,E4,OK,0.0204946,1.43579,6.13045,1.83992,5.00E-05,0.000167183
ARR3,chrX:69488184-69501690,E3,E4,NOTEST,0.325438,0.113193,-1.5236,0,1,1
ARRB1,chr11:74971165-75062875,E3,E4,OK,0.744879,1.7788,1.25582,6.01228,5.00E-05,0.000167183
ARRB2,chr17:4613788-4624795,E3,E4,OK,11.4771,10.1893,-0.171705,-0.988808,0.08195,0.140316
ARRDC1,chr9:140500095-140513308,E3,E4,OK,15.7359,11.4901,-0.45367,-2.14528,5.00E-05,0.000167183
ARRDC2,chr19:18111943-18124911,E3,E4,OK,0.753455,0.330461,-1.18904,-2.80681,5.00E-05,0.000167183
ARRDC3,chr5:90664540-90716532,E3,E4,OK,69.95,34.1816,-1.0331,-6.94983,5.00E-05,0.000167183
ARRDC3-AS1,chr5:90664540-90716532,E3,E4,OK,3.10365,2.54126,-0.288422,-0.331251,0.561,0.666543
ARRDC4,chr15:98503932-98517068,E3,E4,OK,14.4702,37.7848,1.38472,9.24184,5.00E-05,0.000167183
ARRDC5,chr19:4890448-4902879,E3,E4,NOTEST,0.046782,0.0667606,0.513043,0,1,1
ARSA,chr22:51061181-51066601,E3,E4,OK,9.50595,10.094,0.0866015,0.550015,0.3415,0.45397
ARSB,chr5:78073036-78282357,E3,E4,OK,7.91127,11.3081,0.515382,3.25013,5.00E-05,0.000167183
ARSD,chrX:2822010-2847416,E3,E4,OK,17.0574,16.0102,-0.0914079,-0.611653,0.278,0.385756
ARSE,chrX:2852672-2882494,E3,E4,OK,8.01541,3.05275,-1.39266,-6.90631,5.00E-05,0.000167183
ARSF,chrX:2958274-3030770,E3,E4,NOTEST,0.114425,0.225193,0.976755,0,1,1
ARSG,chr17:66255322-66417000,E3,E4,OK,0.630584,0.690977,0.13195,0.365293,0.5219,0.630758
ARSH,chrX:2924653-2951426,E3,E4,NOTEST,0,0,0,0,1,1
ARSI,chr5:149675908-149682525,E3,E4,OK,0.801563,0.586424,-0.450872,-1.48662,0.01205,0.0260681
ARSJ,chr4:114821439-114900878,E3,E4,OK,11.4484,19.435,0.763515,5.04262,5.00E-05,0.000167183
ARSK,chr5:94890824-94940806,E3,E4,OK,3.50279,5.11699,0.546791,2.95631,5.00E-05,0.000167183
ART1,chr11:3666360-3685646,E3,E4,NOTEST,0,0,0,0,1,1
ART3,chr4:76932332-77033955,E3,E4,OK,0.0272452,2.2699,6.38049,2.22118,0.1088,0.17838
ART4,chr12:14982244-14996413,E3,E4,NOTEST,0,0.0196054,Inf,0,1,1
ART5,chr11:3659735-3663546,E3,E4,NOTEST,0.0772476,0.19799,1.35786,0,1,1
ARTN,chr1:44398991-44402912,E3,E4,OK,0.641758,0.105899,-2.59935,-2.62867,5.00E-05,0.000167183
ARV1,chr1:231114822-231136479,E3,E4,OK,13.6021,14.4492,0.0871641,0.497573,0.3888,0.502988
ARVCF,chr22:19863039-20004309,E3,E4,OK,22.0862,15.5589,-0.505403,-2.53398,5.00E-05,0.000167183
ARX,chrX:25021812-25034065,E3,E4,OK,1.49475,4.2478,1.50681,6.67939,5.00E-05,0.000167183
AS3MT,chr10:104613966-104661655,E3,E4,OK,9.54254,5.43674,-0.811631,-1.44954,0.0338,0.0648596
ASAH1,chr8:17913924-17942507,E3,E4,OK,163.101,230.545,0.499282,3.45308,5.00E-05,0.000167183
ASAH2,chr10:51946999-52008370,E3,E4,NOTEST,0.310393,0.241813,-0.360204,0,1,1
ASAH2B,chr10:52499687-52514569,E3,E4,NOTEST,0.212443,0.184884,-0.200451,0,1,1
ASAP1,chr8:131064350-131455906,E3,E4,OK,13.268,10.9389,-0.278488,-1.8362,0.00135,0.00363563
ASAP1-IT1,chr8:131064350-131455906,E3,E4,NOTEST,0.0165629,0.0624602,1.91498,0,1,1
ASAP2,chr2:9346893-9545812,E3,E4,OK,6.41057,6.33583,-0.0169182,-0.106538,0.85,0.898181
ASAP3,chr1:23755055-23810750,E3,E4,OK,12.7378,12.5113,-0.0258859,-0.167897,0.77225,0.841146
ASB1,chr2:239335625-239360891,E3,E4,OK,11.0415,7.92143,-0.479097,-3.15696,5.00E-05,0.000167183
ASB10,chr7:150872784-150884919,E3,E4,NOTEST,0,0,0,0,1,1
ASB11,chrX:15299830-15333746,E3,E4,NOTEST,0.393135,0.378068,-0.0563817,0,1,1
ASB12,chrX:63444071-63450511,E3,E4,NOTEST,0.0134036,0.0589252,2.13626,0,1,1
ASB13,chr10:5680819-5708558,E3,E4,OK,7.2395,5.0951,-0.506781,-2.80969,5.00E-05,0.000167183
ASB14,chr3:57261764-57326710,E3,E4,OK,0.96943,0.832635,-0.219452,-0.245983,0.6754,0.765484
ASB15,chr7:123249111-123277932,E3,E4,NOTEST,0.00968368,0.0176686,0.867558,0,1,1
ASB16,chr17:42248073-42264085,E3,E4,OK,0.985028,0.893957,-0.13996,-0.294618,0.6097,0.708735
ASB16-AS1,chr17:42248073-42264085,E3,E4,OK,5.14307,6.04896,0.234056,0.881249,0.1245,0.199825
ASB17,chr1:76384557-76398116,E3,E4,NOTEST,0,0,0,0,1,1
ASB18,chr2:237103514-237172988,E3,E4,NOTEST,0,0,0,0,1,1
ASB2,chr14:94400498-94443076,E3,E4,NOTEST,0.0310409,0.0916559,1.56206,0,1,1
ASB3,chr2:53897116-54087170,E3,E4,OK,11.7628,11.036,-0.0920078,-0.222653,0.69775,0.784047
ASB4,chr7:95115212-95169543,E3,E4,NOTEST,0.178821,0.227708,0.348669,0,1,1
ASB5,chr4:177134825-177190373,E3,E4,NOTEST,0,0.0191037,Inf,0,1,1
ASB6,chr9:132388434-132404448,E3,E4,OK,9.23219,12.1932,0.401326,2.34407,5.00E-05,0.000167183
ASB7,chr15:101142754-101191904,E3,E4,OK,2.89215,2.99453,0.050188,0.19686,0.7269,0.806061
ASB8,chr12:48541571-48551377,E3,E4,OK,13.8665,13.6434,-0.0233969,-0.146393,0.7942,0.857582
ASB9,chrX:15262108-15288589,E3,E4,NOTEST,0,0.148576,Inf,0,1,1
ASB9P1,chr15:93338713-93340338,E3,E4,NOTEST,0.132689,0.111618,-0.249486,0,1,1
ASCC1,chr10:73855789-73995618,E3,E4,OK,16.2752,15.1796,-0.100545,-0.376618,0.5189,0.628087
ASCC2,chr22:30184596-30234293,E3,E4,OK,19.3368,20.5471,0.087584,0.569584,0.31995,0.431323
ASCC3,chr6:100956607-101329224,E3,E4,OK,23.6566,18.3271,-0.368267,-2.40834,1.00E-04,0.00032265
ASCL1,chr12:103351451-103354294,E3,E4,OK,3.56339,16.7992,2.23707,12.172,5.00E-05,0.000167183
ASCL2,chr11:2289727-2292182,E3,E4,NOTEST,0,0.00871217,Inf,0,1,1
ASCL3,chr11:8959118-8964580,E3,E4,NOTEST,0.0326755,0,#NAME?,0,1,1
ASCL4,chr12:108168161-108170421,E3,E4,NOTEST,0,0,0,0,1,1
ASCL5,chr1:201083080-201084500,E3,E4,NOTEST,0.143498,0.240411,0.744471,0,1,1
ASF1A,chr6:119134611-119256327,E3,E4,OK,26.4354,26.1502,-0.0156476,-0.0950542,0.8653,0.90812
