Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000064933,PMS1,22,0.41880,7,-1.3457,23,0.55558,20,0.29748,23,0.51756,2,-2.6459,22,0.37387,10,-0.7519,8,-1.1587
ENSG00000198130,HIBCH,38,0.78324,15,-0.6682,28,0.31094,23,-0.0676,16,-0.6189,17,-0.5032,25,0.10780,27,0.19486,26,0.16667
ENSG00000151689,INPP1,96,1.68849,11,-1.6822,27,-0.4344,27,-0.4601,45,0.43531,14,-1.3772,25,-0.5100,48,0.48746,30,-0.2666
ENSG00000151690,MFSD6,154,0.40317,90,-0.4421,184,0.78278,137,0.24720,131,0.16794,72,-0.7671,109,-0.1458,38,-1.7117,64,-0.9476
ENSG00000138386,NAB1,24,-0.3189,23,-0.3531,52,1.02965,28,-0.0993,6,-2.4150,46,0.71153,42,0.54388,22,-0.4248,26,-0.2240
ENSG00000115419,GLS,29,-2.7456,212,0.21045,281,0.75306,242,0.47545,285,0.77974,127,-0.5864,82,-1.2457,56,-1.8087,104,-0.8860
ENSG00000115415,STAT1,39,-0.8352,35,-1.0191,38,-0.9404,118,1.01840,104,0.76983,84,0.34162,48,-0.5343,43,-0.6885,45,-0.6204
ENSG00000144339,TMEFF2,119,-0.2265,55,-1.3775,141,0.05035,280,1.35996,201,0.68764,48,-1.5749,88,-0.6931,46,-1.6424,47,-1.6302
ENSG00000196950,SLC39A10,44,-1.4760,122,0.08739,181,0.81911,146,0.41293,142,0.36936,111,-0.0666,62,-0.9573,29,-2.0799,80,-0.5567
ENSG00000138411,HECW2,22,-0.0554,11,-1.1037,52,1.58993,15,-0.6754,24,0.09239,0,-7.4284,30,0.42186,16,-0.5534,13,-0.8284
ENSG00000119041,GTF3C3,17,-0.1176,11,-0.8426,19,0.00862,20,0.12646,29,0.79088,17,-0.1218,11,-0.8081,22,0.24205,10,-0.8780
ENSG00000197121,PGAP1,26,-2.0738,59,-0.8818,188,1.07870,172,0.89347,61,-0.8985,49,-1.1547,89,-0.2663,48,-1.1865,151,0.57382
ENSG00000115524,SF3B1,121,0.19200,81,-0.4434,102,-0.0963,115,0.11054,110,0.03332,177,0.80007,99,-0.1223,71,-0.6325,89,-0.2935
ENSG00000115520,COQ10B,26,-0.8011,34,-0.4133,40,-0.1597,72,0.88072,64,0.65370,12,-1.8961,24,-0.9052,29,-0.6444,54,0.30685
ENSG00000144381,HSPD1,149,-0.1686,141,-0.2536,187,0.21045,191,0.24053,169,0.02853,194,0.24753,141,-0.2520,153,-0.1258,121,-0.4949
ENSG00000115541,HSPE1,247,-0.0286,240,-0.0758,142,-0.9449,271,0.12662,310,0.36913,477,1.04456,182,-0.5007,239,-0.0810,189,-0.4419
ENSG00000115540,MOB4,41,-1.0937,91,0.12890,103,0.36221,117,0.58700,95,0.21247,86,0.03073,27,-1.7104,74,-0.1965,60,-0.5214
ENSG00000162944,RFTN2,115,2.67388,16,-0.7323,3,-3.1551,10,-1.5152,9,-1.6046,41,0.72565,7,-1.9380,48,1.01945,38,0.61816
ENSG00000115896,PLCL1,102,2.75658,0,-5.1391,3,-3.0913,9,-1.4727,54,1.78531,10,-1.1516,2,-3.0544,16,-0.4988,2,-3.4808
ENSG00000119042,SATB2,15,-0.7777,21,-0.2486,79,2.39492,8,-1.8134,28,0.17145,8,-1.7048,21,-0.2868,6,-2.1274,3,-2.9807
ENSG00000178074,C2orf69,19,-1.5246,44,-0.3021,109,1.35918,40,-0.4861,44,-0.3280,33,-0.7515,67,0.36946,38,-0.5278,54,0.00480
ENSG00000162971,TYW5,19,0.37733,28,1.02499,19,0.45594,10,-0.6129,13,-0.1714,3,-2.4408,35,1.40555,3,-2.0345,4,-1.8701
ENSG00000162972,MAIP1,6,-1.0320,7,-0.8594,9,-0.5881,13,0.00954,20,0.81554,31,1.44297,2,-2.5355,11,-0.2389,12,-0.0794
ENSG00000196141,SPATS2L,42,-0.8362,42,-0.8552,30,-1.4511,101,0.58759,101,0.58665,142,1.08814,50,-0.5702,60,-0.3060,75,0.03703
ENSG00000082153,BZW1,149,0.27703,119,-0.0776,137,0.15447,124,-0.0190,147,0.27732,85,-0.5909,142,0.19692,88,-0.5536,105,-0.2758
ENSG00000013441,CLK1,214,1.35590,63,-0.6151,87,-0.1422,109,0.25027,63,-0.6768,165,0.91150,47,-1.0732,59,-0.7181,66,-0.5460
ENSG00000196290,NIF3L1,21,0.29263,6,-1.4164,19,0.18041,27,0.77814,22,0.44651,11,-0.6116,2,-3.0051,19,0.16987,11,-0.7169
ENSG00000115942,ORC2,23,0.52140,8,-1.0898,24,0.62523,30,1.10111,11,-0.6534,16,-0.0397,10,-0.7371,8,-1.1507,4,-1.9809
ENSG00000155744,FAM126B,13,-1.9073,56,0.34663,63,0.59251,61,0.52113,58,0.42209,13,-1.9069,35,-0.3819,19,-1.3164,45,-0.0144
ENSG00000119013,NDUFB3,149,-0.2820,260,0.60207,117,-0.6974,172,-0.0667,239,0.52325,130,-0.4890,226,0.37125,168,-0.0975,153,-0.2412
ENSG00000003402,CFLAR,36,0.19204,35,0.11759,36,0.22190,36,0.22015,9,-1.9588,24,-0.4441,57,0.91821,38,0.27293,31,-0.0464
ENSG00000115993,TRAK2,102,0.95028,49,-0.2360,68,0.33210,45,-0.3708,50,-0.2083,39,-0.5761,50,-0.2006,66,0.24971,46,-0.3181
ENSG00000082146,STRADB,40,1.01981,21,-0.0024,24,0.19320,19,-0.1974,24,0.17777,7,-1.5398,8,-1.3635,22,0.04346,24,0.15532
ENSG00000155755,TMEM237,27,-0.1364,31,0.07574,31,0.11286,39,0.47939,31,0.07738,25,-0.2293,7,-2.0885,25,-0.2190,36,0.30130
ENSG00000003393,ALS2,15,-0.9336,16,-0.8711,46,0.84300,37,0.46248,36,0.39112,45,0.70734,6,-2.3286,10,-1.4964,14,-1.0841
ENSG00000155760,FZD7,20,-0.5548,24,-0.2676,58,1.33975,19,-0.6857,18,-0.7135,45,0.73122,11,-1.4079,21,-0.4703,31,0.12699
ENSG00000116030,SUMO1,79,-0.8608,183,0.44656,133,-0.0731,200,0.66245,149,0.12887,113,-0.3160,150,0.13018,105,-0.4254,67,-1.1061
ENSG00000055044,NOP58,36,-0.0523,48,0.38001,39,0.07984,45,0.30518,44,0.27820,8,-2.2400,40,0.11480,23,-0.7616,39,0.05659
ENSG00000204217,BMPR2,29,-2.4185,185,0.34779,239,0.86884,170,0.23324,148,-0.0105,140,-0.0919,141,-0.0775,78,-0.9900,97,-0.6605
ENSG00000138439,FAM117B,10,-1.1448,25,0.15716,37,0.88054,33,0.67028,19,-0.3056,7,-1.7919,30,0.46323,3,-2.9157,19,-0.2772
ENSG00000163596,ICA1L,29,-0.3263,25,-0.5804,51,0.64128,38,0.09205,34,-0.0984,17,-1.0996,55,0.66736,26,-0.4915,33,-0.1320
ENSG00000138442,WDR12,9,-1.3407,20,-0.1902,32,0.61928,31,0.55579,29,0.43177,22,-0.0503,5,-2.1882,10,-1.2793,22,-0.0541
ENSG00000138380,CARF,14,0.26243,4,-1.4973,22,1.10011,12,0.07550,11,-0.1606,8,-0.6510,1,-2.9929,11,-0.1560,15,0.33877
ENSG00000138443,ABI2,105,-1.0265,250,0.30969,316,0.77800,237,0.24851,159,-0.4325,150,-0.4917,227,0.15200,126,-0.7606,188,-0.1401
ENSG00000173166,RAPH1,5,-2.7769,55,0.71727,50,0.63334,54,0.79816,28,-0.3953,42,0.27095,12,-1.5905,12,-1.5362,30,-0.2385
ENSG00000118257,NRP2,17,-1.4153,16,-1.4375,43,0.00488,44,0.05568,45,0.08764,93,1.28372,19,-1.1864,41,-0.0702,62,0.59497
ENSG00000114933,INO80D,20,0.44885,11,-0.4269,30,1.30025,13,-0.1963,7,-1.0598,0,-6.8043,10,-0.5556,11,-0.3979,24,0.79845
ENSG00000023228,NDUFS1,96,-0.6955,139,-0.1332,174,0.24092,190,0.40712,200,0.50113,90,-0.8053,134,-0.1881,87,-0.8487,141,-0.1136
ENSG00000114942,EEF1B2,529,0.43805,377,-0.0983,263,-0.7079,324,-0.3659,387,-0.0633,445,0.16197,704,0.90970,567,0.55121,252,-0.7216
ENSG00000204186,ZDBF2,8,-2.4512,36,-0.1908,61,0.74688,72,1.04515,39,-0.0861,13,-1.6930,23,-0.8497,25,-0.7330,39,-0.0506
ENSG00000114948,ADAM23,8,-3.2082,49,-0.5643,115,0.88993,125,1.05941,87,0.36406,17,-2.1445,34,-1.1171,31,-1.2268,55,-0.3805
ENSG00000118246,FASTKD2,17,-0.8530,38,0.40000,39,0.46267,25,-0.2847,35,0.27998,17,-0.8772,35,0.25707,25,-0.2742,28,-0.1153
ENSG00000118263,KLF7,29,-0.2733,28,-0.3029,93,2.00101,10,-1.9241,14,-1.4469,32,-0.1224,46,0.47106,18,-0.9649,27,-0.3893
ENSG00000118260,CREB1,49,0.95084,23,-0.2481,31,0.25194,16,-0.8394,27,-0.0030,26,-0.0745,23,-0.2394,24,-0.1709,31,0.19878
ENSG00000144401,METTL21A,25,0.78142,13,-0.1803,8,-0.9422,10,-0.6226,17,0.17113,27,0.93100,20,0.43240,16,0.11914,9,-0.7675
ENSG00000178385,PLEKHM3,12,-1.7365,72,1.06534,43,0.23003,77,1.36658,37,0.00402,19,-1.0441,4,-3.1899,7,-2.3630,21,-0.8870
ENSG00000188674,C2orf80,5,-4.0910,109,0.34816,94,0.12028,111,0.42586,166,1.20856,27,-1.7377,92,0.07730,40,-1.1787,33,-1.4658
ENSG00000138413,IDH1,28,0.22870,22,-0.1599,15,-0.8293,50,1.32711,13,-1.0170,30,0.29159,2,-3.3434,26,0.09486,31,0.37920
ENSG00000115020,PIKFYVE,34,0.26150,13,-1.1848,30,0.06443,43,0.76157,29,0.06391,16,-0.8951,10,-1.5637,30,0.08707,34,0.28464
ENSG00000078018,MAP2,87,-3.4775,1813,1.15313,1030,0.23991,918,0.03861,561,-0.7837,502,-0.8960,1220,0.48979,850,-0.0854,1288,0.57776
ENSG00000144406,UNC80,26,-1.6070,124,0.76904,90,0.28222,126,0.90775,65,-0.2895,50,-0.6744,66,-0.2423,47,-0.7443,47,-0.7568
ENSG00000197713,RPE,34,0.38818,28,0.10853,25,-0.1044,42,0.85686,24,-0.1352,6,-2.0893,30,0.21114,8,-1.6722,26,0.00761
ENSG00000115365,LANCL1,315,0.97784,93,-0.9404,143,-0.3200,203,0.28847,317,1.13532,64,-1.5158,94,-0.9251,95,-0.9100,84,-1.1019
ENSG00000178568,ERBB4,47,-0.0622,27,-0.9192,14,-1.9538,61,0.41175,96,1.28756,27,-0.8698,18,-1.5106,52,0.09249,70,0.58595
ENSG00000144451,SPAG16,58,0.33023,36,-0.4152,31,-0.7046,42,-0.1947,35,-0.4783,33,-0.5445,123,1.60394,67,0.54700,32,-0.5731
ENSG00000138363,ATIC,52,0.04561,23,-1.1816,59,0.29519,79,0.83312,51,0.04329,45,-0.1527,25,-1.0783,34,-0.5893,43,-0.2458
ENSG00000115414,FN1,18,-2.1741,61,-0.3603,36,-1.2230,14,-2.6098,3,-4.5875,552,4.02083,135,0.91401,25,-1.6939,23,-1.7918
ENSG00000079246,XRCC5,115,-0.0100,107,-0.1260,122,0.08885,146,0.41675,129,0.19654,69,-0.7822,99,-0.2409,97,-0.2688,105,-0.1459
ENSG00000260804,LINC01963,15,-1.7044,45,-0.0892,88,1.16613,48,0.01199,36,-0.4651,45,-0.0834,30,-0.7052,34,-0.5050,56,0.25624
ENSG00000144583,MARCH4,4,-2.4364,3,-2.9418,24,0.05431,54,1.63335,35,0.70964,8,-1.5279,0,-4.7927,14,-0.7949,24,0.06519
ENSG00000138375,SMARCAL1,13,-0.0976,1,-3.9528,14,-0.0124,22,0.81033,17,0.33669,11,-0.4312,15,0.10959,15,0.07851,8,-0.8186
ENSG00000197756,RPL37A,4328,0.89834,2151,-0.2284,1148,-1.2638,1803,-0.5423,1469,-0.8739,2308,-0.1182,5574,1.33550,4858,1.09512,1809,-0.4959
ENSG00000115461,IGFBP5,260,1.01537,23,-2.6951,147,0.08960,65,-1.2339,19,-3.0468,312,1.32997,45,-1.7094,200,0.57833,371,1.64068
ENSG00000079308,TNS1,56,1.79806,2,-2.9378,23,0.33211,0,-5.0033,7,-1.5685,60,1.93732,17,-0.1452,19,-0.0481,14,-0.4464
ENSG00000163466,ARPC2,115,-0.6475,144,-0.2957,173,-0.0147,203,0.26944,256,0.69326,126,-0.5051,221,0.37275,114,-0.6574,109,-0.7189
ENSG00000127837,AAMP,88,-0.0102,76,-0.2435,102,0.24839,81,-0.1536,137,0.78180,116,0.42317,36,-1.3503,41,-1.1877,68,-0.4061
ENSG00000127838,PNKD,121,-0.1472,154,0.23375,111,-0.2945,139,0.07730,163,0.36381,143,0.12015,94,-0.5239,118,-0.1886,136,0.03437
ENSG00000135926,TMBIM1,124,1.84821,9,-2.2005,12,-1.8950,16,-1.5576,19,-1.2245,143,2.13087,27,-0.6502,53,0.38714,47,0.20298
ENSG00000144579,CTDSP1,61,1.42311,21,-0.2930,8,-1.7877,4,-2.7965,6,-2.2377,88,2.11510,36,0.52156,44,0.87649,22,-0.2615
ENSG00000135913,USP37,13,-0.1664,6,-1.3329,18,0.45085,20,0.63231,7,-1.0835,8,-0.8714,30,1.20687,10,-0.4966,12,-0.2427
ENSG00000144580,CNOT9,39,0.23719,21,-0.7434,38,0.21891,53,0.82317,38,0.21383,4,-3.0534,28,-0.2557,28,-0.2949,25,-0.4434
ENSG00000115568,ZNF142,7,-1.1052,12,-0.3311,14,-0.1401,23,0.74131,30,1.28252,0,-4.9433,5,-1.6240,8,-1.0080,16,0.04526
ENSG00000074582,BCS1L,22,-0.2961,16,-0.7326,27,0.07935,28,0.11544,37,0.62998,38,0.60198,11,-1.3155,23,-0.2055,19,-0.4911
ENSG00000163481,RNF25,17,-0.1983,9,-1.0731,23,0.26005,19,-0.0597,32,0.88792,20,0.03604,11,-0.8296,13,-0.6571,17,-0.2202
ENSG00000163482,STK36,15,0.28972,3,-1.9879,18,0.72400,16,0.48168,9,-0.5719,0,-4.0353,15,0.29663,4,-1.5017,23,1.01610
ENSG00000135929,CYP27A1,98,3.03196,2,-3.3360,8,-1.3952,5,-1.8736,11,-0.8947,8,-1.2761,8,-1.2121,32,0.88065,29,0.68817
ENSG00000171450,CDK5R2,6,-4.4999,188,0.46610,280,1.31595,80,-0.9164,201,0.64374,61,-1.2607,123,-0.2071,51,-1.5438,132,-0.0971
ENSG00000115649,CNPPD1,51,1.10843,49,1.05958,21,-0.3228,21,-0.3603,19,-0.4851,14,-0.8711,18,-0.5288,22,-0.2245,31,0.29475
ENSG00000144567,RETREG2,187,-0.4479,290,0.24036,325,0.47165,279,0.19898,349,0.60475,128,-1.0214,174,-0.5542,118,-1.1495,188,-0.4361
ENSG00000158552,ZFAND2B,41,0.10008,52,0.47088,39,-0.0020,40,0.05711,54,0.58557,39,-0.0018,15,-1.3682,18,-1.1123,33,-0.2251
ENSG00000115657,ABCB6,24,-0.8256,33,-0.3123,76,1.15978,39,-0.1048,27,-0.6701,52,0.36651,42,0.02623,27,-0.6231,30,-0.5023
ENSG00000198925,ATG9A,75,-0.0265,59,-0.3916,108,0.62648,92,0.34686,97,0.43572,45,-0.7928,47,-0.7420,43,-0.8741,48,-0.7005
ENSG00000163516,ANKZF1,30,0.65308,11,-0.8869,22,0.15685,24,0.28257,21,0.10286,26,0.38755,14,-0.5684,7,-1.4762,19,-0.1122
ENSG00000115661,STK16,22,-0.0418,15,-0.6516,33,0.63632,23,0.04928,28,0.37346,24,0.10337,12,-0.9542,14,-0.7131,17,-0.4246
ENSG00000127824,TUBA4A,52,-2.5551,378,0.43238,421,0.68579,292,0.02426,505,1.04317,194,-0.6137,160,-0.8992,102,-1.5720,134,-1.1639
ENSG00000135924,DNAJB2,347,0.82874,210,0.02010,319,0.78263,154,-0.5038,144,-0.6099,160,-0.4012,162,-0.3877,157,-0.4313,221,0.09653
ENSG00000054356,PTPRN,38,-3.3250,270,-0.4415,665,1.16065,412,0.24426,416,0.25909,241,-0.6129,169,-1.1530,210,-0.8230,389,0.12856
ENSG00000123992,DNPEP,16,0.26629,19,0.52512,13,-0.1321,6,-1.3076,15,0.20058,24,0.92011,4,-1.6218,18,0.41591,14,0.05236
ENSG00000072195,SPEG,15,-0.8794,20,-0.4438,32,0.35147,27,0.06109,44,0.94037,30,0.22813,4,-2.5342,14,-0.9617,25,-0.0504
ENSG00000144591,GMPPA,20,0.65285,7,-0.9351,18,0.48042,24,1.07932,10,-0.4160,6,-1.0876,0,-3.9896,9,-0.5841,13,-0.0623
ENSG00000123989,CHPF,87,-0.0779,62,-0.6120,112,0.34237,113,0.36831,97,0.08721,80,-0.2228,86,-0.0975,63,-0.5828,82,-0.1848
ENSG00000188760,TMEM198,12,-1.4346,21,-0.5676,37,0.31718,34,0.16525,63,1.36525,16,-1.0126,5,-2.5814,19,-0.7054,28,-0.1426
ENSG00000124006,OBSL1,47,-0.1886,54,0.02093,40,-0.4708,54,0.02179,61,0.22807,89,0.80551,52,-0.0504,39,-0.4896,50,-0.0961
ENSG00000144589,STK11IP,18,0.34120,14,0.00211,7,-1.0572,26,1.08892,18,0.40580,5,-1.4344,12,-0.2763,5,-1.6081,15,0.05624
ENSG00000114923,SLC4A3,11,-3.2316,122,0.26955,94,-0.1637,149,0.65569,156,0.75200,76,-0.4766,51,-1.0690,67,-0.6705,114,0.15175
ENSG00000116106,EPHA4,9,-3.4801,83,-0.1822,125,0.52174,131,0.60416,186,1.30492,21,-2.2127,57,-0.7513,26,-1.9394,41,-1.2353
ENSG00000267034,AC010980.1,0,-8.1845,39,0.73913,49,1.30451,13,-1.0316,53,1.46635,0,-5.2059,7,-1.7928,7,-1.8177,11,-1.1609
ENSG00000163082,SGPP2,9,-1.8058,24,-0.3908,50,0.87399,37,0.29557,50,0.87265,3,-3.2747,26,-0.2515,8,-1.9489,27,-0.2030
ENSG00000116120,FARSB,25,-1.7571,80,-0.0445,95,0.25244,91,0.17827,119,0.67401,90,0.13691,115,0.53296,40,-1.1009,25,-1.7584
ENSG00000123983,ACSL3,123,-0.1551,119,-0.2079,137,0.01347,156,0.24454,163,0.32121,130,-0.0617,89,-0.6531,97,-0.5166,159,0.25058
ENSG00000171951,SCG2,45,-2.9060,188,-0.7806,176,-0.9440,973,2.42602,185,-0.8686,241,-0.4036,148,-1.1465,118,-1.4853,344,0.15035
ENSG00000085449,WDFY1,23,-0.6474,12,-1.5544,51,0.65939,46,0.48254,18,-1.0649,44,0.36827,52,0.64150,23,-0.6147,35,0.01521
ENSG00000135900,MRPL44,30,-0.7018,28,-0.8027,65,0.57274,55,0.24881,47,-0.0128,34,-0.5133,68,0.58198,20,-1.3285,55,0.22797
ENSG00000135919,SERPINE2,131,-0.1437,60,-1.3259,128,-0.1932,98,-0.6377,87,-0.8255,251,0.90833,52,-1.5245,203,0.55187,398,1.72265
ENSG00000036257,CUL3,52,-0.6966,79,-0.0581,97,0.30463,80,-0.0457,113,0.57710,105,0.39706,65,-0.3561,53,-0.6618,48,-0.8246
ENSG00000135905,DOCK10,89,2.40784,4,-2.5537,11,-1.0875,36,0.87169,4,-2.4068,0,-4.9222,18,-0.3576,39,0.88342,15,-0.6107
ENSG00000273301,AC016717.2,2,-2.7125,15,-0.0553,21,0.54594,16,0.13474,24,0.81759,5,-1.5990,28,0.98397,2,-2.6934,8,-0.9889
ENSG00000168958,MFF,116,-0.0006,100,-0.2285,83,-0.5678,166,0.64018,121,0.06944,156,0.47227,83,-0.5116,94,-0.3330,105,-0.1553
ENSG00000173744,AGFG1,65,0.22461,56,0.00601,71,0.40852,56,-0.0131,66,0.26946,46,-0.3007,10,-2.5869,52,-0.1074,60,0.11168
ENSG00000153820,SPHKAP,14,-2.6346,82,-0.0113,116,0.62362,165,1.32807,112,0.54558,7,-3.5775,29,-1.5734,29,-1.5530,39,-1.1334
ENSG00000153823,PID1,11,-2.1302,65,0.47397,38,-0.4118,27,-0.9491,103,1.45036,32,-0.6442,39,-0.3149,51,0.09860,45,-0.1074
ENSG00000187957,DNER,512,1.00563,124,-1.2217,147,-1.0310,320,0.26158,368,0.51540,273,-0.0181,147,-0.9655,240,-0.2208,345,0.35331
ENSG00000153827,TRIP12,90,0.20600,68,-0.2227,88,0.19079,109,0.58641,64,-0.3604,88,0.17956,64,-0.3207,66,-0.2699,47,-0.7908
ENSG00000163053,SLC16A14,2,-3.7976,22,-0.4489,36,0.31930,34,0.26343,37,0.39766,34,0.22702,47,0.71817,10,-1.6357,26,-0.1746
ENSG00000135932,CAB39,88,-0.3642,137,0.33594,153,0.57515,120,0.13516,119,0.12247,102,-0.1297,44,-1.3927,67,-0.7795,110,-0.0218
ENSG00000135916,ITM2C,899,0.08790,576,-0.6047,573,-0.6620,729,-0.2633,615,-0.5449,1549,0.97637,661,-0.3922,1302,0.68532,1387,0.78995
ENSG00000204128,C2orf72,54,0.18804,44,-0.1381,40,-0.2898,37,-0.4278,55,0.24641,28,-0.8324,32,-0.6277,36,-0.4299,116,1.46578
ENSG00000173692,PSMD1,64,-1.3798,204,0.40351,226,0.64645,195,0.36639,165,0.07944,137,-0.2275,56,-1.5826,96,-0.7678,169,0.10136
ENSG00000115053,NCL,251,0.41446,203,0.07750,215,0.17860,186,-0.0652,151,-0.4224,192,-0.0122,182,-0.0932,219,0.19108,173,-0.1807
ENSG00000187514,PTMA,1879,1.69478,446,-0.6709,574,-0.3079,478,-0.6105,464,-0.6582,789,0.21548,837,0.31042,814,0.26556,462,-0.6181
ENSG00000156973,PDE6D,75,1.32236,44,0.42113,20,-0.8340,23,-0.6058,31,-0.1268,19,-0.8552,40,0.27214,33,-0.0181,42,0.37196
ENSG00000144524,COPS7B,35,0.45815,31,0.26802,38,0.66953,28,0.11019,32,0.34396,7,-1.9932,2,-3.4447,11,-1.2807,32,0.32596
ENSG00000144535,DIS3L2,29,1.23855,14,0.10752,25,1.17388,7,-1.0718,13,0.02333,0,-6.6464,5,-1.3846,10,-0.4299,11,-0.2797
ENSG00000135930,EIF4E2,46,-0.0604,37,-0.3830,54,0.21427,44,-0.1561,95,1.29383,27,-0.8487,24,-1.0369,32,-0.6213,22,-1.1694
ENSG00000115468,EFHD1,612,3.83173,12,-2.9571,27,-1.9189,20,-2.3680,36,-1.4663,76,-0.2634,28,-1.7481,113,0.36231,73,-0.3204
ENSG00000204120,GIGYF2,14,-1.1908,29,-0.1416,29,-0.1079,21,-0.6219,38,0.34376,50,0.73764,51,0.77892,25,-0.3257,29,-0.1160
ENSG00000182600,SNORC,252,1.95704,45,-0.8748,40,-1.1355,38,-1.1924,25,-1.8321,228,1.76166,58,-0.4937,128,0.74540,44,-0.9060
ENSG00000066248,NGEF,10,-2.9657,43,-0.8675,139,1.10982,100,0.47433,113,0.71165,48,-0.7291,51,-0.6227,36,-1.1496,26,-1.6437
ENSG00000085978,ATG16L1,13,-0.4231,15,-0.2718,20,0.16894,26,0.67476,19,0.11065,26,0.60922,5,-1.9538,7,-1.3148,18,0.00026
ENSG00000077044,DGKD,45,0.54957,9,-1.8577,21,-0.6706,39,0.35539,56,1.05406,11,-1.5844,20,-0.7280,25,-0.3797,39,0.33013
ENSG00000085982,USP40,28,1.26068,13,0.02685,9,-0.5961,6,-1.1462,13,0.10676,10,-0.3446,10,-0.2772,15,0.21500,20,0.68364
ENSG00000188042,ARL4C,7,-2.7903,25,-1.0571,31,-0.8006,82,0.89129,98,1.24543,35,-0.5832,33,-0.6458,29,-0.8555,55,0.12113
ENSG00000130147,SH3BP4,23,0.30055,25,0.42060,14,-0.5738,30,0.77913,2,-3.4565,20,0.06540,30,0.69510,19,-0.0450,24,0.33430
ENSG00000157985,AGAP1,124,0.59161,85,-0.0176,117,0.54809,69,-0.3680,53,-0.8000,68,-0.3626,95,0.16707,99,0.22406,81,-0.0839
ENSG00000132321,IQCA1,15,0.04556,8,-0.9922,11,-0.5467,10,-0.5642,11,-0.4890,33,1.29824,2,-2.9050,17,0.21625,39,1.59955
ENSG00000198612,COPS8,83,-0.8433,144,0.00701,163,0.22181,178,0.37836,178,0.38046,118,-0.3024,127,-0.1951,104,-0.5024,109,-0.4226
ENSG00000124831,LRRFIP1,40,-0.6371,44,-0.5085,61,0.00071,63,0.05482,102,0.94870,64,0.08088,24,-1.3857,48,-0.3437,58,-0.0786
ENSG00000132329,RAMP1,213,0.38585,85,-1.0284,72,-1.3639,142,-0.2716,177,0.10189,331,1.11684,88,-0.9887,253,0.66588,252,0.66108
ENSG00000184182,UBE2F,42,-0.2532,57,0.23204,45,-0.1577,61,0.35037,59,0.29971,43,-0.2104,50,0.01528,39,-0.3695,34,-0.5839
ENSG00000132323,ILKAP,55,0.58864,40,0.07930,43,0.20719,42,0.14286,23,-0.8058,70,0.97942,24,-0.7221,21,-0.9115,32,-0.2579
ENSG00000144485,HES6,57,0.87002,50,0.64712,16,-1.2150,21,-0.7641,48,0.66634,14,-1.2657,27,-0.3426,44,0.44728,37,0.18515
ENSG00000132326,PER2,10,-1.0433,16,-0.4321,27,0.42604,18,-0.2729,21,-0.0101,33,0.73064,6,-1.7389,23,0.12623,32,0.68165
ENSG00000204104,TRAF3IP1,16,-0.3695,9,-1.2125,33,0.87021,16,-0.3509,23,0.18128,11,-0.9726,18,-0.1560,23,0.19557,23,0.19723
ENSG00000065802,ASB1,37,0.16140,27,-0.3139,39,0.27825,28,-0.2637,33,-0.0284,31,-0.1037,37,0.18568,31,-0.0835,35,0.06605
ENSG00000068024,HDAC4,19,-0.4486,23,-0.1177,40,0.87478,11,-1.2295,21,-0.2710,23,-0.1395,25,-0.0223,23,-0.1520,41,0.80572
ENSG00000130414,NDUFA10,115,-0.5072,169,0.08498,231,0.66160,150,-0.1099,219,0.56357,135,-0.2648,115,-0.5097,63,-1.4164,122,-0.4153
ENSG00000172428,COPS9,462,-0.0426,506,0.10090,315,-0.6872,345,-0.5355,562,0.29821,413,-0.2168,868,0.98304,631,0.45319,372,-0.3778
ENSG00000063660,GPC1,111,-0.4261,136,-0.1160,167,0.22732,188,0.44189,157,0.11355,195,0.45157,44,-1.8265,111,-0.4323,140,-0.0775
ENSG00000188542,DUSP28,24,0.20923,20,-0.0272,16,-0.4368,31,0.73809,29,0.62278,19,-0.0915,10,-1.0871,14,-0.5914,8,-1.4540
ENSG00000142327,RNPEPL1,51,1.27949,30,0.41141,21,-0.2063,16,-0.5676,20,-0.2226,8,-1.6168,19,-0.2808,25,0.10155,31,0.45945
ENSG00000142330,CAPN10,23,-0.1813,34,0.44515,33,0.43925,37,0.66949,14,-0.9753,24,-0.0944,23,-0.1736,13,-1.0106,22,-0.2195
ENSG00000130294,KIF1A,421,-0.3359,732,0.53901,696,0.51167,473,-0.1711,507,-0.0506,320,-0.7583,448,-0.2396,479,-0.1360,518,-0.0124
ENSG00000122085,MTERF4,57,0.94320,15,-1.0883,26,-0.3212,31,-0.0495,40,0.40406,26,-0.3263,40,0.34439,31,-0.0561,19,-0.8033
ENSG00000115685,PPP1R7,69,-0.9636,124,-0.0655,122,-0.1080,187,0.66552,174,0.53016,108,-0.2837,101,-0.3822,80,-0.7470,106,-0.3171
ENSG00000115677,HDLBP,97,-0.4291,129,0.02115,140,0.16618,127,-0.0052,150,0.28553,155,0.30579,102,-0.3403,96,-0.4323,116,-0.1503
